id,book_key,book_hebrew,book_spanish,chapter,verse,word_position,word,num_letters,gematria_standard,gematria_gadol,gematria_ordinal,gematria_reduced,gematria_digital_root,gematria_atbash,is_prime,divisible_by_7,divisible_by_26,mod_7
1,bereshit,בראשית,Génesis,1,1,1,בראשית,6,913,913,76,13,4,746,False,False,False,3
2,bereshit,בראשית,Génesis,1,1,2,ברא,3,203,203,23,5,5,703,False,True,False,0
3,bereshit,בראשית,Génesis,1,1,3,אלהים,5,86,646,41,14,5,560,False,False,False,2
4,bereshit,בראשית,Génesis,1,1,4,את,2,401,401,23,5,5,401,True,False,False,2
5,bereshit,בראשית,Génesis,1,1,5,השמים,5,395,955,62,17,8,152,False,False,False,3
6,bereshit,בראשית,Génesis,1,1,6,ואת,3,407,407,29,11,2,481,False,False,False,1
7,bereshit,בראשית,Génesis,1,1,7,הארץ,4,296,1106,44,17,8,498,False,False,False,2
8,bereshit,בראשית,Génesis,1,2,1,והארץ,5,302,1112,50,23,5,578,False,False,False,1
9,bereshit,בראשית,Génesis,1,2,2,היתה,4,420,420,42,15,6,221,False,True,False,0
10,bereshit,בראשית,Génesis,1,2,3,תהו,3,411,411,33,15,6,171,False,False,False,5
11,bereshit,בראשית,Génesis,1,2,4,ובהו,4,19,19,19,19,1,550,True,False,False,5
12,bereshit,בראשית,Génesis,1,2,5,וחשך,4,334,814,46,19,1,172,False,False,False,5
13,bereshit,בראשית,Génesis,1,2,6,עלפני,5,240,240,69,24,6,82,False,False,False,2
14,bereshit,בראשית,Génesis,1,2,7,תהום,4,451,1011,46,19,1,181,False,False,False,3
15,bereshit,בראשית,Génesis,1,2,8,ורוח,4,220,220,40,22,4,223,False,False,False,3
16,bereshit,בראשית,Génesis,1,2,9,אלהים,5,86,646,41,14,5,560,False,False,False,2
17,bereshit,בראשית,Génesis,1,2,10,מרחפת,5,728,728,80,26,8,80,False,True,True,0
18,bereshit,בראשית,Génesis,1,2,11,עלפני,5,240,240,69,24,6,82,False,False,False,2
19,bereshit,בראשית,Génesis,1,2,12,המים,4,95,655,41,14,5,150,False,False,False,4
20,bereshit,בראשית,Génesis,1,3,1,ויאמר,5,257,257,50,14,5,533,True,False,False,5
21,bereshit,בראשית,Génesis,1,3,2,אלהים,5,86,646,41,14,5,560,False,False,False,2
22,bereshit,בראשית,Génesis,1,3,3,יהי,3,25,25,25,7,7,170,False,False,False,4
23,bereshit,בראשית,Génesis,1,3,4,אור,3,207,207,27,9,9,483,False,False,False,4
24,bereshit,בראשית,Génesis,1,3,5,ויהיאור,7,238,238,58,22,4,733,False,True,False,0
25,bereshit,בראשית,Génesis,1,4,1,וירא,4,217,217,37,10,1,523,False,True,False,0
26,bereshit,בראשית,Génesis,1,4,2,אלהים,5,86,646,41,14,5,560,False,False,False,2
27,bereshit,בראשית,Génesis,1,4,3,אתהאור,6,613,613,55,19,1,974,True,False,False,4
28,bereshit,בראשית,Génesis,1,4,4,כיטוב,5,47,47,38,20,2,500,True,False,False,5
29,bereshit,בראשית,Génesis,1,4,5,ויבדל,5,52,52,34,16,7,540,False,False,True,3
30,bereshit,בראשית,Génesis,1,4,6,אלהים,5,86,646,41,14,5,560,False,False,False,2
31,bereshit,בראשית,Génesis,1,4,7,בין,3,62,712,26,8,8,349,False,False,False,6
32,bereshit,בראשית,Génesis,1,4,8,האור,4,212,212,32,14,5,573,False,False,False,2
33,bereshit,בראשית,Génesis,1,4,9,ובין,4,68,718,32,14,5,429,False,False,False,5
34,bereshit,בראשית,Génesis,1,4,10,החשך,4,333,813,45,18,9,182,False,False,False,4
35,bereshit,בראשית,Génesis,1,5,1,ויקרא,5,317,317,56,11,2,527,True,False,False,2
36,bereshit,בראשית,Génesis,1,5,2,אלהיםלאור,9,323,883,80,26,8,1063,False,False,False,1
37,bereshit,בראשית,Génesis,1,5,3,יום,3,56,616,29,11,2,130,False,True,False,0
38,bereshit,בראשית,Génesis,1,5,4,ולחשך,5,364,844,58,22,4,192,False,True,True,0
39,bereshit,בראשית,Génesis,1,5,5,קרא,3,301,301,40,4,4,407,False,True,False,0
40,bereshit,בראשית,Génesis,1,5,6,לילה,4,75,75,39,12,3,170,False,False,False,5
41,bereshit,בראשית,Génesis,1,5,7,ויהיערב,7,303,303,69,24,6,560,False,False,False,2
42,bereshit,בראשית,Génesis,1,5,8,ויהיבקר,7,333,333,72,18,9,557,False,False,False,4
43,bereshit,בראשית,Génesis,1,5,9,יום,3,56,616,29,11,2,130,False,True,False,0
44,bereshit,בראשית,Génesis,1,5,10,אחדפ,4,93,93,30,21,3,566,False,False,False,2
45,bereshit,בראשית,Génesis,1,6,1,ויאמר,5,257,257,50,14,5,533,True,False,False,5
46,bereshit,בראשית,Génesis,1,6,2,אלהים,5,86,646,41,14,5,560,False,False,False,2
47,bereshit,בראשית,Génesis,1,6,3,יהי,3,25,25,25,7,7,170,False,False,False,4
48,bereshit,בראשית,Génesis,1,6,4,רקיע,4,380,380,65,11,2,54,False,False,False,2
49,bereshit,בראשית,Génesis,1,6,5,בתוך,4,428,908,41,14,5,411,False,False,False,1
50,bereshit,בראשית,Génesis,1,6,6,המים,4,95,655,41,14,5,150,False,False,False,4
51,bereshit,בראשית,Génesis,1,6,7,ויהי,4,31,31,31,13,4,250,True,False,False,3
52,bereshit,בראשית,Génesis,1,6,8,מבדיל,5,86,86,41,14,5,470,False,False,False,2
53,bereshit,בראשית,Génesis,1,6,9,בין,3,62,712,26,8,8,349,False,False,False,6
54,bereshit,בראשית,Génesis,1,6,10,מים,3,90,650,36,9,9,60,False,False,False,6
55,bereshit,בראשית,Génesis,1,6,11,למים,4,120,680,48,12,3,80,False,False,False,1
56,bereshit,בראשית,Génesis,1,7,1,ויעש,4,386,386,53,17,8,129,False,False,False,1
57,bereshit,בראשית,Génesis,1,7,2,אלהים,5,86,646,41,14,5,560,False,False,False,2
58,bereshit,בראשית,Génesis,1,7,3,אתהרקיע,7,786,786,93,21,3,545,False,False,False,2
59,bereshit,בראשית,Génesis,1,7,4,ויבדל,5,52,52,34,16,7,540,False,False,True,3
60,bereshit,בראשית,Génesis,1,7,5,בין,3,62,712,26,8,8,349,False,False,False,6
61,bereshit,בראשית,Génesis,1,7,6,המים,4,95,655,41,14,5,150,False,False,False,4
62,bereshit,בראשית,Génesis,1,7,7,אשר,3,501,501,42,6,6,405,False,False,False,4
63,bereshit,בראשית,Génesis,1,7,8,מתחת,4,848,848,65,20,2,72,False,False,False,1
64,bereshit,בראשית,Génesis,1,7,9,לרקיע,5,410,410,77,14,5,74,False,False,False,4
65,bereshit,בראשית,Génesis,1,7,10,ובין,4,68,718,32,14,5,429,False,False,False,5
66,bereshit,בראשית,Génesis,1,7,11,המים,4,95,655,41,14,5,150,False,False,False,4
67,bereshit,בראשית,Génesis,1,7,12,אשר,3,501,501,42,6,6,405,False,False,False,4
68,bereshit,בראשית,Génesis,1,7,13,מעל,3,140,140,41,14,5,37,False,True,False,0
69,bereshit,בראשית,Génesis,1,7,14,לרקיע,5,410,410,77,14,5,74,False,False,False,4
70,bereshit,בראשית,Génesis,1,7,15,ויהיכן,6,101,751,56,20,2,289,True,False,False,3
71,bereshit,בראשית,Génesis,1,8,1,ויקרא,5,317,317,56,11,2,527,True,False,False,2
72,bereshit,בראשית,Génesis,1,8,2,אלהים,5,86,646,41,14,5,560,False,False,False,2
73,bereshit,בראשית,Génesis,1,8,3,לרקיע,5,410,410,77,14,5,74,False,False,False,4
74,bereshit,בראשית,Génesis,1,8,4,שמים,4,390,950,57,12,3,62,False,False,True,5
75,bereshit,בראשית,Génesis,1,8,5,ויהיערב,7,303,303,69,24,6,560,False,False,False,2
76,bereshit,בראשית,Génesis,1,8,6,ויהיבקר,7,333,333,72,18,9,557,False,False,False,4
77,bereshit,בראשית,Génesis,1,8,7,יום,3,56,616,29,11,2,130,False,True,False,0
78,bereshit,בראשית,Génesis,1,8,8,שניפ,4,440,440,62,17,8,57,False,False,False,6
79,bereshit,בראשית,Génesis,1,9,1,ויאמר,5,257,257,50,14,5,533,True,False,False,5
80,bereshit,בראשית,Génesis,1,9,2,אלהים,5,86,646,41,14,5,560,False,False,False,2
81,bereshit,בראשית,Génesis,1,9,3,יקוו,4,122,122,41,14,5,204,False,False,False,3
82,bereshit,בראשית,Génesis,1,9,4,המים,4,95,655,41,14,5,150,False,False,False,4
83,bereshit,בראשית,Génesis,1,9,5,מתחת,4,848,848,65,20,2,72,False,False,False,1
84,bereshit,בראשית,Génesis,1,9,6,השמים,5,395,955,62,17,8,152,False,False,False,3
85,bereshit,בראשית,Génesis,1,9,7,אלמקום,6,217,777,64,19,1,524,False,True,False,0
86,bereshit,בראשית,Génesis,1,9,8,אחד,3,13,13,13,13,4,560,True,False,False,6
87,bereshit,בראשית,Génesis,1,9,9,ותראה,5,612,612,54,18,9,574,False,False,False,3
88,bereshit,בראשית,Génesis,1,9,10,היבשה,5,322,322,43,16,7,522,False,True,False,0
89,bereshit,בראשית,Génesis,1,9,11,ויהיכן,6,101,751,56,20,2,289,True,False,False,3
90,bereshit,בראשית,Génesis,1,10,1,ויקרא,5,317,317,56,11,2,527,True,False,False,2
91,bereshit,בראשית,Génesis,1,10,2,אלהיםליבשה,10,433,993,91,28,1,1012,True,False,False,6
92,bereshit,בראשית,Génesis,1,10,3,ארץ,3,291,1101,39,12,3,408,False,False,False,4
93,bereshit,בראשית,Génesis,1,10,4,ולמקוה,6,187,187,61,25,7,284,False,False,False,5
94,bereshit,בראשית,Génesis,1,10,5,המים,4,95,655,41,14,5,150,False,False,False,4
95,bereshit,בראשית,Génesis,1,10,6,קרא,3,301,301,40,4,4,407,False,True,False,0
96,bereshit,בראשית,Génesis,1,10,7,ימים,4,100,660,46,10,1,100,False,False,False,2
97,bereshit,בראשית,Génesis,1,10,8,וירא,4,217,217,37,10,1,523,False,True,False,0
98,bereshit,בראשית,Génesis,1,10,9,אלהים,5,86,646,41,14,5,560,False,False,False,2
99,bereshit,בראשית,Génesis,1,10,10,כיטוב,5,47,47,38,20,2,500,True,False,False,5
100,bereshit,בראשית,Génesis,1,11,1,ויאמר,5,257,257,50,14,5,533,True,False,False,5
101,bereshit,בראשית,Génesis,1,11,2,אלהים,5,86,646,41,14,5,560,False,False,False,2
102,bereshit,בראשית,Génesis,1,11,3,תדשא,4,705,705,48,12,3,503,False,False,False,5
103,bereshit,בראשית,Génesis,1,11,4,הארץ,4,296,1106,44,17,8,498,False,False,False,2
104,bereshit,בראשית,Génesis,1,11,5,דשא,3,305,305,26,8,8,502,False,False,False,4
105,bereshit,בראשית,Génesis,1,11,6,עשב,3,372,372,39,12,3,309,False,False,False,1
106,bereshit,בראשית,Génesis,1,11,7,מזריע,5,327,327,66,21,3,130,False,False,False,5
107,bereshit,בראשית,Génesis,1,11,8,זרע,3,277,277,43,16,7,80,True,False,False,4
108,bereshit,בראשית,Génesis,1,11,9,עץ,2,160,970,34,16,7,12,False,False,False,6
109,bereshit,בראשית,Génesis,1,11,10,פרי,3,290,290,47,11,2,49,False,False,False,3
110,bereshit,בראשית,Génesis,1,11,11,עשה,3,375,375,42,15,6,99,False,False,False,4
111,bereshit,בראשית,Génesis,1,11,12,פרי,3,290,290,47,11,2,49,False,False,False,3
112,bereshit,בראשית,Génesis,1,11,13,למינו,5,136,136,55,19,1,159,False,False,False,3
113,bereshit,בראשית,Génesis,1,11,14,אשר,3,501,501,42,6,6,405,False,False,False,4
114,bereshit,בראשית,Génesis,1,11,15,זרעובו,6,291,291,57,30,3,540,False,False,False,4
115,bereshit,בראשית,Génesis,1,11,16,עלהארץ,6,396,1206,72,27,9,525,False,False,False,4
116,bereshit,בראשית,Génesis,1,11,17,ויהיכן,6,101,751,56,20,2,289,True,False,False,3
117,bereshit,בראשית,Génesis,1,12,1,ותוצא,5,503,503,53,26,8,566,True,False,False,6
118,bereshit,בראשית,Génesis,1,12,2,הארץ,4,296,1106,44,17,8,498,False,False,False,2
119,bereshit,בראשית,Génesis,1,12,3,דשא,3,305,305,26,8,8,502,False,False,False,4
120,bereshit,בראשית,Génesis,1,12,4,עשב,3,372,372,39,12,3,309,False,False,False,1
121,bereshit,בראשית,Génesis,1,12,5,מזריע,5,327,327,66,21,3,130,False,False,False,5
122,bereshit,בראשית,Génesis,1,12,6,זרע,3,277,277,43,16,7,80,True,False,False,4
123,bereshit,בראשית,Génesis,1,12,7,למינהו,6,141,141,60,24,6,249,False,False,False,1
124,bereshit,בראשית,Génesis,1,12,8,ועץ,3,166,976,40,22,4,92,False,False,False,5
125,bereshit,בראשית,Génesis,1,12,9,עשהפרי,6,665,665,89,26,8,148,False,True,False,0
126,bereshit,בראשית,Génesis,1,12,10,אשר,3,501,501,42,6,6,405,False,False,False,4
127,bereshit,בראשית,Génesis,1,12,11,זרעובו,6,291,291,57,30,3,540,False,False,False,4
128,bereshit,בראשית,Génesis,1,12,12,למינהו,6,141,141,60,24,6,249,False,False,False,1
129,bereshit,בראשית,Génesis,1,12,13,וירא,4,217,217,37,10,1,523,False,True,False,0
130,bereshit,בראשית,Génesis,1,12,14,אלהים,5,86,646,41,14,5,560,False,False,False,2
131,bereshit,בראשית,Génesis,1,12,15,כיטוב,5,47,47,38,20,2,500,True,False,False,5
132,bereshit,בראשית,Génesis,1,13,1,ויהיערב,7,303,303,69,24,6,560,False,False,False,2
133,bereshit,בראשית,Génesis,1,13,2,ויהיבקר,7,333,333,72,18,9,557,False,False,False,4
134,bereshit,בראשית,Génesis,1,13,3,יום,3,56,616,29,11,2,130,False,True,False,0
135,bereshit,בראשית,Génesis,1,13,4,שלישיפ,6,730,730,91,19,1,110,False,False,False,2
136,bereshit,בראשית,Génesis,1,14,1,ויאמר,5,257,257,50,14,5,533,True,False,False,5
137,bereshit,בראשית,Génesis,1,14,2,אלהים,5,86,646,41,14,5,560,False,False,False,2
138,bereshit,בראשית,Génesis,1,14,3,יהי,3,25,25,25,7,7,170,False,False,False,4
139,bereshit,בראשית,Génesis,1,14,4,מארת,4,641,641,56,11,2,414,True,False,False,4
140,bereshit,בראשית,Génesis,1,14,5,ברקיע,5,382,382,67,13,4,354,False,False,False,4
141,bereshit,בראשית,Génesis,1,14,6,השמים,5,395,955,62,17,8,152,False,False,False,3
142,bereshit,בראשית,Génesis,1,14,7,להבדיל,6,81,81,45,18,9,570,False,False,False,4
143,bereshit,בראשית,Génesis,1,14,8,בין,3,62,712,26,8,8,349,False,False,False,6
144,bereshit,בראשית,Génesis,1,14,9,היום,4,61,621,34,16,7,220,True,False,False,5
145,bereshit,בראשית,Génesis,1,14,10,ובין,4,68,718,32,14,5,429,False,False,False,5
146,bereshit,בראשית,Génesis,1,14,11,הלילה,5,80,80,44,17,8,260,False,False,False,3
